,Con,PP,PPName,Reg,AgtId,Agt,Dat,WggPar,WggGenQuot,WggEffPart,WggCitizen,WggParOth,WggEq,WggEqGen,WggSocEq,WggEqOth,WggGrp,WggIndNom,WggRefDisp,WggPreg,WggGrpOth,WggIntLaw,WggHR,WggHrSta,WggUnsc,WggIntLawOth,WggNewInst,WggInstWom,WggInf,WggRecon,WggNewInstOth,WggVio,WggVioSex,WggVioGen,WggVioProt,WggVioOth,WggTraJus,WggPast,WggPri,WggTraJusOth,WggInstRef,WggConst,WggLawRef,WggJud,WggPol,WggDdr,WggPubAdm,WggInstRefOth,WggDev,WggDevGen,WggRehab,WggEdu,WggHea,WggRepro,WggDevOth,WggImpl,WggImplRole,WggImplSign,WggImplOth,WggOth,Equality,Participation,Women_group,Int_Law,New_inst,Violence,Trans_Just,Inst_Reform,Dev,Imp
0,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,2232,"Resolution of Intra Afghan Peace Conference in Doha, Qatar (Doha Roadmap for Peace)",2019-07-08,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1739,Agreement between the Islamic Republic of Afghanistan and Hizb-e-Islami ,2016-09-22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,1923,Agreement between the two campaign teams regarding the structure of the national unity government,2014-09-21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,864,Tokyo Declaration Partnership for Self-Reliance in Afghanistan from Transition to Transformation (Tokyo Conference),2012-07-08,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0
4,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,848,Conclusions of the Conference on Afghanistan and the International Community: From Transition to the Transformation Decade (Bonn Conference),2011-12-05,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0
5,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,849,Istanbul Process on Regional Security and Cooperation for a Secure and Stable Afghanistan,2011-11-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,709,Renewed Commitment by the Afghan Government to the Afghan People and the International Community to Afghanistan (Kabul Conference Communique),2010-07-22,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0
7,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,708,The Resolution Adopted at the Conclusion of the National Consultative Peace Jirga,2010-06-06,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1
8,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,707,"Communiqué of the Conference on Afghan Leadership, Regional Cooperation, International Partnership (London Conference Communique)",2010-01-28,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0
9,Afghanistan,2,Afghanistan: 2000s Post-intervention process,Europe and Eurasia,706,Statement of the International Conference on Afghanistan (Hague Conference),2009-03-31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
